title,company,location,link
"2021년도 상반기 정규직(연구, 행정) 공개","
한국해양과학기술원 부설 선박해양플랜트연구소",대전 유성구,https://kr.indeed.com/rc/clk?jk=959efa0556f39f20&fccid=96ad9a9363d82eb2&vjs=3
2021년 상반기 인턴연구원 제한경쟁,,대전 유성구,https://kr.indeed.com/rc/clk?jk=06d3d3da58d5c255&fccid=a07844470e4a5db5&vjs=3
"2021년 상반기 인턴연구원, 기간제근로자 장애인 제한경쟁",,대전 유성구,https://kr.indeed.com/rc/clk?jk=030ee6f53d98ca16&fccid=a07844470e4a5db5&vjs=3
2021년 상반기 공개 [정규직/ 무기계약직/ 비정규직/ 중형선박설계사업단],"
한국해양과학기술원 부설 선박해양플랜트연구소",대전 유성구,https://kr.indeed.com/rc/clk?jk=7f7d386bdc47f18e&fccid=96ad9a9363d82eb2&vjs=3
2021년도 상반기 비정규직 공개 문,"
한국해양과학기술원 부설 선박해양플랜트연구소",대전 유성구,https://kr.indeed.com/rc/clk?jk=0bd906d78c95d65e&fccid=96ad9a9363d82eb2&vjs=3
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,"
네이버",서울,https://kr.indeed.com/rc/clk?jk=5d586ea25719e960&fccid=412ff571bced2587&vjs=3
"Research Intern, 2021",,서울,https://kr.indeed.com/rc/clk?jk=0c4a502533e74aac&fccid=a5b4499d9e91a5c6&vjs=3
2021년 5월 첨단소재사업본부 신입사원 수시,"
LG화학",익산 익산시,https://kr.indeed.com/rc/clk?jk=68816ff0fb2a90dd&fccid=ab9729f091d64075&vjs=3
"웹개발, Python 외 경력 정규직","
헬스브리즈",서울 금천구,https://kr.indeed.com/rc/clk?jk=37d376a03259d4bf&fccid=829eb35725439432&vjs=3
"데이터분석, 딥러닝 외 신입 정규직, 인턴","
피디에프솔루션세미컨덕터테크놀로지코리아",성남 분당구,https://kr.indeed.com/rc/clk?jk=c98be29f8b7c8352&fccid=f058eb095b8d3d23&vjs=3
2021 카카오 추천팀 여름 인턴 모집 (분석),,성남 판교역,https://kr.indeed.com/rc/clk?jk=508965e7a92b2383&fccid=32b9af632cf3b9f9&vjs=3
Vocational Training Student/Apprentice (Intelligent Data Processing Engine)-2022 Graduates-Korea,,서울,https://kr.indeed.com/rc/clk?jk=3cb6d7a86f9740a8&fccid=156c7820d1988640&vjs=3
2021년 5월 첨단소재사업본부 R&D 신입사원 수시 (석사),"
LG화학",서울 강서구,https://kr.indeed.com/rc/clk?jk=2e274d8c121c2d25&fccid=ab9729f091d64075&vjs=3
"기술연구소 정규직 연력(Java, Python, 기타)및 개발자 (경력10년이상)","
파인씨앤아이",서울 송파구,https://kr.indeed.com/rc/clk?jk=5a79d308be3944d6&fccid=d6bec47206b6a818&vjs=3
"빅데이터, 인공지능(AI) 외 신입/경력 인턴","
스칼라웍스",대한민국,https://kr.indeed.com/rc/clk?jk=dfb20fa220f3c478&fccid=d1224297334bfd66&vjs=3
2021 Market Data Analyst - Seoul,"
Bloomberg",서울,https://kr.indeed.com/rc/clk?jk=e8a4630bec0783e8&fccid=f770da67b3b51c62&vjs=3
2021년 혁신성장 청년인재 집중양성사업 교육생 (빅데이터/인공지능),,서울 중구,https://kr.indeed.com/rc/clk?jk=defe2491a42a91af&fccid=5a42607451bb1757&vjs=3
"Staff Software Engineer, Maps & Navigation, Seoul, Korea","
Tesla",서울,https://kr.indeed.com/rc/clk?jk=44f16e94e3e6b589&fccid=86e9be6ce380173e&vjs=3
CHC – Business intelligence - TOM_2136,,서울,https://kr.indeed.com/rc/clk?jk=464ad076ec3e1fa0&fccid=5d3ed74ca4598964&vjs=3
Python 경력 정규직,"
브라이트컨설팅",서울 강남구,https://kr.indeed.com/rc/clk?jk=c8c02d6751fce8a8&fccid=0e1d1c88469b49a7&vjs=3
[Janssen] Data Scientist,,서울,https://kr.indeed.com/rc/clk?jk=4bd70fb8a220d90d&fccid=0bed8e17bc113980&vjs=3
Python 경력 정규직,"
브라이트컨설팅",서울 강남구,https://kr.indeed.com/rc/clk?jk=c8c02d6751fce8a8&fccid=0e1d1c88469b49a7&vjs=3
"웹,앱 개발자/임베디드개발자/블록체인개발자/서버관리자 정규직","
위고컴퍼니",서울 서초구,https://kr.indeed.com/rc/clk?jk=8339b6fce67c485d&fccid=32f112a2173f5468&vjs=3
기술연구소 (AI연구 및 Python개발 / 드론 영상처리),"
선영종합엔지니어링",고양 덕양구,https://kr.indeed.com/rc/clk?jk=c130ad24ffc25b72&fccid=62e29f1ce04435f3&vjs=3
기업부설연구소 연구원,"
워너버스이노베이션",안산 상록구,https://kr.indeed.com/rc/clk?jk=088b5d4f65ea30aa&fccid=086bbc41e9da415f&vjs=3
Vocational Training Student/Apprentice (Software Engineering)-2022 Graduates-Korea,,서울,https://kr.indeed.com/rc/clk?jk=c74d035d6cb58996&fccid=156c7820d1988640&vjs=3
데이터 분야 경력,,서울,https://kr.indeed.com/rc/clk?jk=d17da0baecf05910&fccid=9635ff240e3de5f6&vjs=3
Software Engineer,,서울,https://kr.indeed.com/rc/clk?jk=e7c8c2b11f24fb43&fccid=a5b4499d9e91a5c6&vjs=3
도헌디지털의료혁신연구소 채용 공고,"
한림대학교성심병원",대한민국,https://kr.indeed.com/rc/clk?jk=70e41338b8e01711&fccid=c601b80d5d2511f1&vjs=3
Cross Border Ecommerce - Business Intelligence (Based in Seoul),"
Shopee",서울,https://kr.indeed.com/rc/clk?jk=b574f1454ae36aab&fccid=0b476c4a7add47fe&vjs=3
Python Programmer,"
Mofac",서울 서초구,https://kr.indeed.com/rc/clk?jk=df21e3bb5d773616&fccid=6cddb172d498d15c&vjs=3
[인재풀] 아티스트,"
Electronic Arts",서울,https://kr.indeed.com/rc/clk?jk=aac8e9355cb855ac&fccid=617d7f961cfcf54a&vjs=3
(광주취업맛집1위)2021년도 국비 기술교육생,"
대한상공회의소 광주인력개발원",광주 광산구,https://kr.indeed.com/rc/clk?jk=b95d00f1145e5ef3&fccid=4746daf5fe536ea2&vjs=3
"데이터 분석 솔루션 기반 웹프로그래머(Java, JSP, Python, R)","
비즈플러그",서울 송파구,https://kr.indeed.com/rc/clk?jk=1f117386dac0e82e&fccid=d4457e5b0c28554b&vjs=3
텔코웨어(주) S/W개발 정규직 전환형 신입 인턴,"
텔코웨어",서울 서초구,https://kr.indeed.com/rc/clk?jk=8b679feee743daca&fccid=05b2aa2e1e18e16f&vjs=3
2021 카카오 추천팀 여름 인턴 모집 (개발),,성남 판교역,https://kr.indeed.com/rc/clk?jk=216320955c1dbb96&fccid=32b9af632cf3b9f9&vjs=3
2021년 5월 경력사원 (DX),"
LG에너지솔루션",서울특별시,https://kr.indeed.com/rc/clk?jk=a90149f37643a0a8&fccid=e3653632e61fd408&vjs=3
[정규직] 프로그래머,"
플랙토리",서울 중구,https://kr.indeed.com/rc/clk?jk=8dd03519f5491b40&fccid=dd616958bd9ddc12&vjs=3
"각 부문별(디지털, 글로벌AE, 브랜드PR, 제작관리) 경력사원","
지투알",서울,https://kr.indeed.com/rc/clk?jk=106e430c9390e375&fccid=bc5ebec5dc29475c&vjs=3
Back-end Engineer (Python),"
Soomgo",서울 강남구,https://kr.indeed.com/rc/clk?jk=752a4b5d63eac97c&fccid=f9a401b2af6cde91&vjs=3
MI(Market Intelligence)담당 마케팅 전략 경력사원,,서울 영등포구,https://kr.indeed.com/rc/clk?jk=54e0d08c99dcf507&fccid=9702ca14c9a11940&vjs=3
"Customer Engineer, Machine Learning, Google Cloud Customers",,서울,https://kr.indeed.com/rc/clk?jk=add880a19f345249&fccid=a5b4499d9e91a5c6&vjs=3
[NAVER Cloud] 가상화 코어 기술 연구 및 개발 (소프트웨어 분야) 경력사원,"
네이버",서울,https://kr.indeed.com/rc/clk?jk=ee64abe502f8ee94&fccid=412ff571bced2587&vjs=3
Industrial Engineer - Korea,"
BOEING",부산,https://kr.indeed.com/rc/clk?jk=6084c350a85a4e58&fccid=edae4285faf6c2f0&vjs=3
연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세싱),"
모든",경기도 광명,https://kr.indeed.com/rc/clk?jk=d3ac335d6e4ac178&fccid=439b0412f66a75cd&vjs=3
정보보호 컨설팅 전문가 양성 과정,"
한국정보보호산업협회",서울,https://kr.indeed.com/rc/clk?jk=61de44a2ade660a0&fccid=ae7b6a6d5fba207b&vjs=3
[카카오커머스] 기술직군,"
카카오커머스",성남 분당구,https://kr.indeed.com/rc/clk?jk=2b9e604e63e7e46d&fccid=b1f5de6cae96f6c2&vjs=3
[EAN테크놀로지] 해외사업 및 국책연구원,"
이에이엔테크놀로지",서울 강남구,https://kr.indeed.com/rc/clk?jk=ba8bf054231cf7bb&fccid=543c8ad2e675bf90&vjs=3
(신입/경력) AR&AI 엔지니어,"
플레이스에이",성남 분당구,https://kr.indeed.com/rc/clk?jk=f069d006ba3ffa5a&fccid=2b5c2ab63663259e&vjs=3
AI/빅데이터/클라우드 분야 (인재 Pool),,서울,https://kr.indeed.com/rc/clk?jk=be95b5718905880f&fccid=6c9206aa5a609175&vjs=3
AR App Engineer,"
Hyperconnect",서울,https://kr.indeed.com/rc/clk?jk=4b15dd8e45f0fd01&fccid=5284327973dbf3f6&vjs=3
퀀트연구원 Quantitative Researcher,"
디에스파트너즈그룹",서울,https://kr.indeed.com/rc/clk?jk=d4918dbd39fc969f&fccid=ec1d0c6e548bba97&vjs=3
각 분야별 인재 Pool 등록,"
지투알",서울,https://kr.indeed.com/rc/clk?jk=a64e1e21f61265ce&fccid=bc5ebec5dc29475c&vjs=3
"Field Applications Engineer, Audio","
Dolby",서울,https://kr.indeed.com/rc/clk?jk=7cb5c3076d1701db&fccid=5dd80d97ea739284&vjs=3
데이터 전문가(모델러/분석가/엔지니어) 모집,,성남 판교역,https://kr.indeed.com/rc/clk?jk=ac9068957c550cb3&fccid=32b9af632cf3b9f9&vjs=3
Sales Operations Specialist,,서울,https://kr.indeed.com/rc/clk?jk=ef7a74269d5cddd6&fccid=595d42593839d3a2&vjs=3
Application Architect,"
Amazon Web Services Korea LLC",서울,https://kr.indeed.com/rc/clk?jk=6222ccd51e1464f0&fccid=fe2d21eef233e94a&vjs=3
[개발]CI/CD 엔지니어(정규직),,대한민국,https://kr.indeed.com/rc/clk?jk=3d0cc83899a9b37f&fccid=2f8799a5ef214646&vjs=3
KDB캐피탈 경력직원,"
KDB캐피탈",서울 영등포구,https://kr.indeed.com/rc/clk?jk=e5ac7cfe5a23abe4&fccid=b16be8d620ba9957&vjs=3
2021년 아자스쿨 정규직 전환형 인턴 채용,"
아자스쿨",서울 마포구,https://kr.indeed.com/rc/clk?jk=7f48c805fee2a1a3&fccid=8c42b4cbb34c9f11&vjs=3
"Field Applications Engineer, Audio","
Dolby",서울,https://kr.indeed.com/rc/clk?jk=7cb5c3076d1701db&fccid=5dd80d97ea739284&vjs=3
Data Analytics SA,"
Amazon Web Services Korea LLC",서울,https://kr.indeed.com/rc/clk?jk=9a818d9d91db847d&fccid=fe2d21eef233e94a&vjs=3
데이터 전문가(모델러/분석가/엔지니어) 모집,,성남 판교역,https://kr.indeed.com/rc/clk?jk=ac9068957c550cb3&fccid=32b9af632cf3b9f9&vjs=3
Sales Operations Specialist,,서울,https://kr.indeed.com/rc/clk?jk=ef7a74269d5cddd6&fccid=595d42593839d3a2&vjs=3
Application Architect,"
Amazon Web Services Korea LLC",서울,https://kr.indeed.com/rc/clk?jk=6222ccd51e1464f0&fccid=fe2d21eef233e94a&vjs=3
[개발]CI/CD 엔지니어(정규직),,대한민국,https://kr.indeed.com/rc/clk?jk=3d0cc83899a9b37f&fccid=2f8799a5ef214646&vjs=3
KDB캐피탈 경력직원,"
KDB캐피탈",서울 영등포구,https://kr.indeed.com/rc/clk?jk=e5ac7cfe5a23abe4&fccid=b16be8d620ba9957&vjs=3
2021년 아자스쿨 정규직 전환형 인턴 채용,"
아자스쿨",서울 마포구,https://kr.indeed.com/rc/clk?jk=7f48c805fee2a1a3&fccid=8c42b4cbb34c9f11&vjs=3
웹 개발자 경력 Java/Php/Javascript/Python/Html/CSS 등 프로젝트 경력자,"
바이오브레인",대전 서구,https://kr.indeed.com/rc/clk?jk=941687b6bbb14d81&fccid=a3e2170fc2a54ba6&vjs=3
경영전략/Data Scientist 경력인재 - 글로벌 우량대기업,"
에스에프인촌",서울,https://kr.indeed.com/rc/clk?jk=92d86cc5f86ca8e9&fccid=629bf66c8ed71fe3&vjs=3
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,,대한민국,https://kr.indeed.com/rc/clk?jk=e934bb33ef71dacb&fccid=1544766d4c2915b0&vjs=3
"백앤드 개발자(Google Clound, Python Django)","
아자스쿨",서울 마포구,https://kr.indeed.com/rc/clk?jk=bc31f110ceb31a5d&fccid=8c42b4cbb34c9f11&vjs=3
2021년 이공계 전문기술 연수사업 취업연계 무료 교육생,"
우송대학교산학협력단",대전 동구,https://kr.indeed.com/rc/clk?jk=c453c879f09c6644&fccid=cc23e5208d1a9024&vjs=3
Data Analyst,"
IQVIA",서울,https://kr.indeed.com/rc/clk?jk=2c4c5856662783e7&fccid=6b7a1dfe07e7f037&vjs=3
Technical Consultant Intern,"
Amazon Web Services Korea LLC",서울,https://kr.indeed.com/rc/clk?jk=74f109233a14e204&fccid=fe2d21eef233e94a&vjs=3
AI 분야 석/박사,,서울,https://kr.indeed.com/rc/clk?jk=59db18a2366b2c92&fccid=9635ff240e3de5f6&vjs=3
[특허톤 참가자격/관련분야 취업연계] 2021년 빅데이터 전문가 양성과정 교육생,"
한국여성과학기술인지원센터",서울 서대문구,https://kr.indeed.com/rc/clk?jk=2bc89fb4b05a2c88&fccid=2dcb03d6ea494f01&vjs=3
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),"
딥엑스",성남 분당구,https://kr.indeed.com/rc/clk?jk=e5448ffc7d6ecf02&fccid=e34932b8232a173b&vjs=3
[신입/정규] 광고솔루션(python),"
니트머스",서울 명동,https://kr.indeed.com/rc/clk?jk=090f509f2c688949&fccid=d9e8f8e1ceec46f5&vjs=3
딥러닝 AI 개발 연구원,"
베이리스",성남 수정구,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
통신사프로젝트(SI/PYTHON/6개월/종각역),"
디와이즈",서울 서대문구,https://kr.indeed.com/rc/clk?jk=5d30d12b06f56d55&fccid=cd2fa1ca29a06229&vjs=3
실시간 금융거래서비스 IT 개발 및 운영,"
이지스엔터프라이즈",서울 금천구,https://kr.indeed.com/rc/clk?jk=46a84f9756bee779&fccid=3c46587ea7765810&vjs=3
Support Engineer,,서울,https://kr.indeed.com/rc/clk?jk=6dd6df0289d55d06&fccid=734cb5a01ee60f80&vjs=3
Data Engineer,"
Dohands Company",서울,https://kr.indeed.com/rc/clk?jk=63fa708f9257033a&fccid=096413e81087d2af&vjs=3
[무료교육/취업코칭] 데이터 분석 프로젝트 과정 교육생 (2021년 혁신성장 청년인재 집중양성사업),"
SK플래닛 Tacademy",성남 분당구,https://kr.indeed.com/rc/clk?jk=fc6317c643204ee2&fccid=c29e5daceb008fd3&vjs=3
[데이터센터] (경력/신입) 카카오 데이터센터 Data Scientist 모집,,성남 판교역,https://kr.indeed.com/rc/clk?jk=1806287902a1a36e&fccid=32b9af632cf3b9f9&vjs=3
Software Engineer II (Embedded/ Numerical Control Programming),"
BOEING",서울,https://kr.indeed.com/rc/clk?jk=d14b8e0abce71268&fccid=edae4285faf6c2f0&vjs=3
첨단소재사업본부 R&D(석/박사) 경력사원,"
LG화학",대전광역시,https://kr.indeed.com/rc/clk?jk=9ea370e5966cdd08&fccid=ab9729f091d64075&vjs=3
웹솔루션 개발 사원 (JAVA/Python),"
대연씨앤아이",서울 구로구,https://kr.indeed.com/rc/clk?jk=809ed76ae2758581&fccid=d577e7515229d46f&vjs=3
"Software Engineer, Machine Learning",,서울,https://kr.indeed.com/rc/clk?jk=c9e13c1e7c8a92b0&fccid=a5b4499d9e91a5c6&vjs=3
Software Architecture 설계 엔지니어,"
딥엑스",성남 분당구,https://kr.indeed.com/rc/clk?jk=7df915e1f0f86b2d&fccid=e34932b8232a173b&vjs=3
PI&CS Engineer (Process Information & Control Solutions),,전라남도,https://kr.indeed.com/rc/clk?jk=2b7c67c7f1fe78ff&fccid=595d42593839d3a2&vjs=3
Application Engineer III - (E3),"
Applied Materials Inc.",대한민국,https://kr.indeed.com/rc/clk?jk=4f2835fd73c9e3c7&fccid=6c6f37e2a6cb4c55&vjs=3
"SW개발, 시스템유지보수 외 신입/경력 정규직","
다올플러스",대구,https://kr.indeed.com/rc/clk?jk=e85e6f29a6b0e5f2&fccid=83c9999b9290b9c2&vjs=3
Senior Data Warehouse Consultant,"
Amazon Web Services Korea LLC",서울,https://kr.indeed.com/rc/clk?jk=6ff3488d913b3389&fccid=fe2d21eef233e94a&vjs=3
웹개발자,"
에이치앤원",서울 서초구,https://kr.indeed.com/rc/clk?jk=138e05647829b0bd&fccid=5a050abc0d1a02d1&vjs=3
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)","
더테스터",대전 중구,https://kr.indeed.com/rc/clk?jk=1748baa27965fdbf&fccid=948325a69d70601e&vjs=3
[2021인턴] AI R&D - Language AI,,성남 판교역,https://kr.indeed.com/rc/clk?jk=73317adae7b3fa61&fccid=a1e4e21b1f33cf40&vjs=3
[Data Science Div - PUBG Studio Analytics Dept] Data Analyst,"
PUBG",서울,https://kr.indeed.com/rc/clk?jk=b647e33d03c852bb&fccid=403118030354e1f2&vjs=3
석유화학사업본부 AI/BIg Data 분야 경력사원,"
LG화학",서울 영등포구,https://kr.indeed.com/rc/clk?jk=56b4455ed9883821&fccid=ab9729f091d64075&vjs=3
